sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
수원시,하하김밥,8352501543,경기도 수원시 팔달구 동말로38번길 9-10,경기도 수원시 팔달구 화서동 180-5번지 1층,"분식,프랜차이즈",16442,37.2780079,126.999049
수원시,푸라닭(수원망포),4947800349,경기도 수원시 영통구 덕영대로1499번길 75,경기도 수원시 영통구 망포동 9-2번지 유진빌딩 가동 1층 3호,"치킨,프랜차이즈",16681,37.2476058,127.0535984
수원시,피자알볼로구운탑동점,2152710349,경기도 수원시 권선구 금호로 258,경기도 수원시 권선구 탑동 5-29번지 1층,"프랜차이즈,피자·양식,픽업",16604,37.2757819,126.9782639
수원시,피자마루 조원 한일타운점,6483701224,경기도 수원시 장안구 경수대로976번길 32,경기도 수원시 장안구 송죽동 77-1번지 피자마루,"프랜차이즈,피자·양식",16298,37.3061811,127.0044704
수원시,라돌이 마라탕 권선점,5724800996,경기도 수원시 권선구 세권로304번길 62,경기도 수원시 권선구 권선동 1296-7번지 1층,"중식,프랜차이즈,픽업",16553,37.2496268,127.0353309
수원시,용호낙지 영통 홈플러스점,1827900313,경기도 수원시 영통구 봉영로 1576,경기도 수원시 영통구 영통동 994-2번지 1층 용호낙지 영통 홈플러스점,"프랜차이즈,한식",16704,37.2518134,127.0726078
수원시,요즘에 냉짬뽕&냉면,8090303123,경기도 수원시 팔달구 정조로709번길 65,경기도 수원시 팔달구 매교동 130-1번지 1층,중식,16465,37.2689445,127.0153053
수원시,강정에반한닭 장안점,3681601885,경기도 수원시 장안구 파장로82번길 16,경기도 수원시 장안구 파장동 580번지 동영빌딩 1층 108호,치킨,16349,37.3070952,126.9925707
수원시,프랭크버거(광교에듀타운점),6093319755,경기도 수원시 영통구 에듀타운로 102,경기도 수원시 영통구 이의동 1348번지 광교중앙역SKVIEW B동 141호,"프랜차이즈,피자·양식,픽업",16509,37.2897908,127.0464223
수원시,햇콩나물국밥,4465700855,경기도 수원시 권선구 경수대로370번길 33,"경기도 수원시 권선구 권선동 1029-14번지 주영푸드 1층 105호,106호","프랜차이즈,픽업,한식",16566,37.2589091,127.0257221
수원시,푸라닭(수원광교점),5164800884,경기도 수원시 영통구 도청로89번길 43,경기도 수원시 영통구 이의동 1347-3번지 에듀프라자 105호,"치킨,프랜차이즈,픽업",16509,37.2891539,127.0472271
수원시,교촌치킨(신영통1호점),1981302076,경기도 수원시 영통구 태장로 77,경기도 수원시 영통구 망포동 381-2번지 1층 교촌치킨 신영통1호점,"치킨,프랜차이즈,픽업",16688,37.2393625,127.054797
수원시,개성손만두메밀소바전문점,6221174837,경기도 수원시 장안구 서부로 2171,경기도 수원시 장안구 율전동 94-5번지 1층 경북궁개성손만두메밀소바전문점,"프랜차이즈,한식",16357,37.3021308,126.9724627
수원시,더주세요,5693301296,경기도 수원시 팔달구 창룡대로26번길 42-3,경기도 수원시 팔달구 남수동 95-1번지 1층 더 주 세요,카페,16256,37.279993,127.0191036
