sigun_nm,faclt_no,play_si_desc,instl_ymd,instl_plc,publ_prvate_div_nm,inoutdr_div_nm,refine_zipno,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt
안산시,532404,사동 현대1차 308동 뒤[현대 놀이터],19941031,주택단지,민간,실외,15622,,경기도 안산시 상록구 사동 1345-2번지 현대1차아파트,37.2890109635,126.8501032174
안산시,532399,사동 선경아파트102동앞[무지개 놀이터],19940727,주택단지,민간,실외,15621,,경기도 안산시 상록구 사동 1345번지 선경아파트,37.2922753027,126.8503459087
안산시,532402,사동 선경아파트109동앞[하늘 놀이터],19940727,주택단지,민간,실외,15621,,경기도 안산시 상록구 사동 1345번지 선경아파트,37.2922753027,126.8503459087
안산시,17796,상록수타운월드 714동옆,20120101,주택단지,민간,실외,15624,,경기도 안산시 상록구 사동 1346번지 상록수타운월드아파트,37.2873655263,126.8541448226
안산시,17794,상록수타운월드 709동뒤,19940916,주택단지,민간,실외,15624,,경기도 안산시 상록구 사동 1346번지 상록수타운월드아파트,37.2873655263,126.8541448226
안산시,542509,꿈이큰아이들어린이집,20070306,어린이집,민간,실외,15626,경기도 안산시 상록구 항호2길 57-17,경기도 안산시 상록구 사동 1367번지,37.2890483397,126.8438077468
안산시,34623,항가울어린이공원,20101216,도시공원,공공,실외,15626,,경기도 안산시 상록구 사동 1379-5번지,37.2867167523,126.8455446764
안산시,561892,명성어린이집 실외놀이시설,20171106,어린이집,민간,실외,15624,경기도 안산시 상록구 초당로 59-18,경기도 안산시 상록구 사동 1396-15번지,37.2855109156,126.8545555122
안산시,17740,감골어린이공원,20090807,도시공원,공공,실외,15630,,경기도 안산시 상록구 사동 1406-9번지,37.2832421992,126.8527183363
안산시,17742,장화어린이공원,20110429,도시공원,공공,실외,15629,경기도 안산시 상록구 장화1길 17,경기도 안산시 상록구 사동 1413-18번지,37.2832486053,126.8496451389
안산시,571223,e편한세상 상록 실내놀이터,20191025,주택단지,민간,실내,15629,경기도 안산시 상록구 항가울로 28,경기도 안산시 상록구 사동 1423번지 e편한세상 상록,37.2841232323,126.8480582869
안산시,571222,e편한세상 상록 어린이놀이터,20191025,주택단지,민간,실외,15629,경기도 안산시 상록구 항가울로 28,경기도 안산시 상록구 사동 1423번지 e편한세상 상록,37.2841232323,126.8480582869
안산시,17743,항호어린이공원,20110721,도시공원,공공,실외,15628,경기도 안산시 상록구 항호1길 30-21,경기도 안산시 상록구 사동 1427-6번지,37.2837738819,126.846820408
안산시,586232,오늘 우린 실내놀이터,20230201,놀이제공영업소,민간,실내,15628,경기도 안산시 상록구 항가울로 5,경기도 안산시 상록구 사동 1431-10,37.2824139771,126.8470352127
안산시,24903,시립감골어린이집 놀이터,20100924,어린이집,공공,실외,15632,경기도 안산시 상록구 선진로 69,경기도 안산시 상록구 사동 1475-3번지,37.2780403355,126.8499606723
