sigun_nm,bizplc_nm,licensg_ymd,bsn_state_nm,clsbiz_ymd,multi_utlz_bizest_yn,tot_faclt_scale,sanittn_indutype_nm,sanittn_bizcond_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
시흥시,패밀리포차,20120509,영업,,,,,통닭(치킨),"경기도 시흥시 정왕천로411번길 34, 2층 (정왕동)",경기도 시흥시 정왕동 1188-10 2층 ,15052,37.346209,126.7490492
시흥시,성민양꼬치,19991130,영업,,,,,호프/통닭,"경기도 시흥시 장곡로49번길 9, 101호 (장곡동)",경기도 시흥시 장곡동 813-8 101호 ,15002,37.3785917,126.7833681
시흥시,행복포차,20140430,영업,,,,,정종/대포집/소주방,"경기도 시흥시 삼미시장1길 23, 1층 (신천동)",경기도 시흥시 신천동 738-1 1층 ,14948,37.4407241,126.7836125
시흥시,이가네생칼국수,19971112,영업,,,,,분식,경기도 시흥시 신천3길 9 (신천동),경기도 시흥시 신천동 733-6 ,14948,37.439488,126.7849016
시흥시,카페인중독배곧점,20210914,영업,,,,,기타,"경기도 시흥시 서울대학로264번길 50, 배곧헤리움 어반크로스2차 A동 1층 112호 (배곧동)",경기도 시흥시 배곧동 233 배곧헤리움 어반크로스2차 ,15011,37.3667198,126.7287655
시흥시,은경이네닭발앤치킨,20151229,영업,,,,,한식,"경기도 시흥시 장현능곡로 198, 108호 (능곡동)",경기도 시흥시 능곡동 737 108호,14995,37.3690811,126.8119974
시흥시,에이그레이트시흥플랑드르점,20210507,영업,,,,,기타,"경기도 시흥시 장현능곡로 155, 1층 1007호 (능곡동)",경기도 시흥시 능곡동 235-1 장현지구 상업6BL ,15121,37.3710186,126.8072928
시흥시,벽옥의정푸드,20210914,영업,,,,,기타,"경기도 시흥시 역전로301번길 34, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 2305-1 시흥성심메디칼 ,15025,37.3530667,126.7375091
시흥시,마이카페,20210914,영업,,,,,기타,"경기도 시흥시 역전로301번길 34, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 2305-1 시흥성심메디칼 ,15025,37.3530667,126.7375091
시흥시,예향분식,20110816,영업,,,,,분식,"경기도 시흥시 하상로 14-8 (하상동,번지 1층)",경기도 시흥시 하상동 371-5 번지 1층 ,14977,37.3918313,126.8135067
시흥시,생활초밥,20200722,영업,,,,,일식,"경기도 시흥시 은계번영길 1, 태산W타워 215호 (은행동)",경기도 시흥시 은행동 646 태산W타워 ,14922,37.4365775,126.8016249
시흥시,컴포즈커피시흥한라비발디점,20210513,영업,,,,,커피숍,"경기도 시흥시 배곧1로 27-15, 상가3동 1층 106호 (배곧동, 한라비발디캠퍼스)",경기도 시흥시 배곧동 243 한라비발디캠퍼스 ,15011,37.3636798,126.7119931
시흥시,블리스버거시흥은계점,20211005,영업,,,,,기타,"경기도 시흥시 은계중앙로 250, 2층 201,202,203호일부호 (은행동)",경기도 시흥시 은행동 608-3 ,14923,37.446182,126.8040115
시흥시,웰빙엄마손김밥목감점,20180125,영업,,,,,기타 휴게음식점,"경기도 시흥시 동서로 1080, 1층 103호 (목감동)",경기도 시흥시 목감동 242-1 ,14984,37.385252,126.8602306
시흥시,씨유정왕역전로점,20210513,영업,,,,,편의점,"경기도 시흥시 봉우재로69번길 16, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1819-5 ,15053,37.3491694,126.745418
시흥시,정가라멘,20191030,영업,,,,,일식,"경기도 시흥시 배곧3로 86, 센터프라자2 209,210호 (배곧동)",경기도 시흥시 배곧동 194-2 센터프라자2 ,15011,37.3702222,126.7295541
시흥시,부연양꼬치,20190820,영업,,,,,기타,"경기도 시흥시 은계번영길 40, 샤르망프라자 2층 208,209호 (은행동)",경기도 시흥시 은행동 147-2 샤르망프라자 ,14922,37.4365649,126.8025406
시흥시,씨유시흥행운점,20210507,영업,,,,,편의점,"경기도 시흥시 군자로 474, 삼성프라자 1층 101호 일부호 (거모동)",경기도 시흥시 거모동 1728-6 삼성프라자 ,15071,37.3472228,126.783147
시흥시,도시갈비,20191114,영업,,,,,기타,"경기도 시흥시 배곧1로 27-16, 상가3동 2층 201호 (배곧동, 한라비발디캠퍼스2차)",경기도 시흥시 배곧동 245 한라비발디캠퍼스2차 ,15011,37.3617928,126.712871
시흥시,봉명동내커피시흥장현점,20210507,영업,,,,,커피숍,"경기도 시흥시 장현순환로 58, 1230동 1층 1-104호 (장현동, 장현호반써밋)",경기도 시흥시 장현동 369 장현호반써밋 ,14996,37.3747138,126.7950269
시흥시,니뽕내뽕시흥정왕점,20140429,영업,,,,,중국식,"경기도 시흥시 중심상가3길 9, 청진프라자 2층 204호 (정왕동)",경기도 시흥시 정왕동 1737-12 청진프라자 ,15066,37.3451507,126.7372052
시흥시,동궈샤오휘양정왕,20090318,영업,,,,,정종/대포집/소주방,"경기도 시흥시 군서로24번길 13, 1층 (정왕동)",경기도 시흥시 정왕동 1190-9 1층 ,15052,37.3457822,126.7499679
시흥시,장치봉의 맵꼬만 명태찜,20090317,영업,,,,,한식,"경기도 시흥시 도일로112번길 5-5 (거모동, 105,106호)","경기도 시흥시 거모동 1656-5 105,106호 ",15069,37.3410813,126.7841198
시흥시,굽네치킨시흥월곶점,20090311,영업,,,,,통닭(치킨),"경기도 시흥시 월곶중앙로30번길 4 (월곶동, 주영(프)101호)",경기도 시흥시 월곶동 994-1 주영(프)101호 ,14967,37.3877015,126.7423886
시흥시,정이품쭈꾸미,20090309,영업,,,,,한식,"경기도 시흥시 중심상가로 49, 103호 (정왕동)",경기도 시흥시 정왕동 1859-20 103호 ,15040,37.3523288,126.7238318
시흥시,굽네치킨시흥능곡점,20090309,영업,,,,,통닭(치킨),"경기도 시흥시 능곡로 182, 107호 (능곡동, 신성(프))",경기도 시흥시 능곡동 753 신성(프)107호 ,14995,37.3682632,126.8108643
시흥시,포차매니아,20090305,영업,,,,,통닭(치킨),"경기도 시흥시 정왕신길로139번길 4, 아주아파트상가동 106호 (정왕동)",경기도 시흥시 정왕동 1394 아주아파트상가 106호 ,15025,37.3534614,126.7358114
시흥시,치킨마루시흥은계점,20090302,영업,,,,,한식,"경기도 시흥시 시흥대로1074번길 10, 삼성홈타운상가동 1층 106호 (은행동)",경기도 시흥시 은행동 289-11 삼성홈타운상가동 ,14921,37.4314932,126.7939296
시흥시,광주식당,20090211,영업,,,,,탕류(보신용),"경기도 시흥시 뱀내장터로 17 (대야동, 진주빌리지1동102호)",경기도 시흥시 대야동 499-37 진주빌리지1동102호 ,14909,37.442077,126.7867309
시흥시,산성갈비탕,20090209,영업,,,,,호프/통닭,"경기도 시흥시 중심상가1길 11 (정왕동,,10 1층)","경기도 시흥시 정왕동 1742-9 ,10 1층 ",15066,37.3436869,126.7352556
시흥시,BHC조남점,20081216,영업,,,,,기타,"경기도 시흥시 동서로 1042, 101호 (조남동)",경기도 시흥시 조남동 178-14 101호 ,14984,37.3821869,126.8584945
시흥시,위키드보이즈(wickedboyz),20210319,영업,,,,,기타,"경기도 시흥시 목감남서로 9-29, 1층 102호 (조남동)",경기도 시흥시 조남동 652-6 ,14988,37.3781433,126.8525313
시흥시,떡볶이참잘하는집떡참시흥연성점,20210322,영업,,,,,분식,"경기도 시흥시 시흥대로 404, 201동 1층 101호 (광석동, 시흥시청역 동원로얄듀크)",경기도 시흥시 광석동 270 시흥시청역 동원로얄듀크 ,14994,37.3767999,126.8109782
시흥시,맵돈배곧점,20200728,영업,,,,,기타,"경기도 시흥시 서울대학로264번길 7, 시흥배곧 아브뉴프랑 센트럴 퍼플 B동 1층 140호 (배곧동)",경기도 시흥시 배곧동 220 시흥배곧 아브뉴프랑 센트럴 퍼플 ,15011,37.3691267,126.7260417
시흥시,치순이통닭(월곶점),20190828,영업,,,,,호프/통닭,"경기도 시흥시 월곶중앙로70번길 3, 풍림프라자 1층 115호 (월곶동)",경기도 시흥시 월곶동 1010-4 풍림프라자 ,14964,37.3896123,126.7381671
시흥시,포도나무집,20211001,영업,,,,,기타,"경기도 시흥시 연성로29번길 54-1, 1층 일부호 (하중동)",경기도 시흥시 하중동 853-6 ,14976,37.395157,126.8041898
시흥시,진미식당,20030417,영업,,,,,한식,"경기도 시흥시 수인로3087번길 2, 1층 (안현동)",경기도 시흥시 안현동 376-2 1층 ,14937,37.4307861,126.81158
시흥시,오징어패밀리,20211001,영업,,,,,횟집,"경기도 시흥시 서울대학로278번길 8, 시흥배곧 아브뉴프랑 센트럴 레드 1층 B-117호 (배곧동)",경기도 시흥시 배곧동 214 시흥배곧 아브뉴프랑 센트럴 레드 ,15011,37.3696799,126.7265668
시흥시,교촌치킨정왕3호점,20210713,영업,,,,,호프/통닭,"경기도 시흥시 서촌상가2길 9, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1728-12 ,15036,37.3471398,126.7339561
시흥시,기브닝커피,20210713,영업,,,,,기타,"경기도 시흥시 서해안로1780번길 9, 1층 (계수동)",경기도 시흥시 계수동 414 ,14924,37.4575664,126.8010001
시흥시,알콩달콩얌얌시흥능곡점,20211001,영업,,,,,기타,"경기도 시흥시 장현능곡로 155, 시흥 플랑드르 2층 2031호 (능곡동)",경기도 시흥시 능곡동 235-1 시흥 플랑드르 ,15121,37.3710186,126.8072928
시흥시,반달커피시흥은계점,20201117,영업,,,,,커피숍,"경기도 시흥시 은계호수로 49, 시흥 센트롤돔 그랑트리 1층 1145호 (은행동)",경기도 시흥시 은행동 601-302 시흥 센트롤돔 그랑트리 ,14923,37.4458457,126.8020023
시흥시,맥주아비정왕점,20201117,영업,,,,,식육(숯불구이),"경기도 시흥시 정왕대로 348, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1622-2 ,15062,37.3385194,126.7488999
시흥시,청년피자장곡점,20190709,영업,,,,,기타,"경기도 시흥시 장곡로 74, 1층 108호 (장곡동)",경기도 시흥시 장곡동 802-2 금강프라자 ,15002,37.3797651,126.7806574
시흥시,계절과일배곧점,20211001,영업,,,,,기타,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 2층 254호 (배곧동)",경기도 시흥시 배곧동 204 서영베니스스퀘어 ,15011,37.3681926,126.7306929
시흥시,육회한잔,20201123,영업,,,,,한식,"경기도 시흥시 은계번영길 27, 시티파크 2층 209호 (은행동)",경기도 시흥시 은행동 646-12 시티파크 ,14922,37.4365371,126.8039538
시흥시,보드람치킨정왕점,20090203,영업,,,,,통닭(치킨),"경기도 시흥시 옥구상가2길 10-1, 1층 (정왕동)",경기도 시흥시 정왕동 1859-2 1층 ,15040,37.3533722,126.7235049
