시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,학교급
어린이집,솔빛어린이집,경기도 시흥시 대은로104번길 34 (은행동),경기도 시흥시 은행동 539-3,37.4426535,126.8002232,경기도 시흥시청,시흥경찰서,Y,1,10,2026-04-01,
어린이집,시립정왕어린이집,경기도 시흥시 정왕대로53번길 38(정왕동),경기도 시흥시 정왕동 1866-7,37.35761023,126.7264417,경기도 시흥시청,시흥경찰서,Y,1,8,2026-04-01,
어린이집,또래또래어린이집,경기도 시흥시 마유로443번길 33(정왕동),경기도 시흥시 정왕동 2293-7,37.35412735,126.7386274,경기도 시흥시청,시흥경찰서,Y,3,4,2026-04-01,
어린이집,큰숲어린이집,경기도 시흥시 오이도중앙로 24-10(정왕동),경기도 시흥시 정왕동 1998-7,37.3464809,126.6891749,경기도 시흥시청,시흥경찰서,Y,1,6,2026-04-01,
어린이집,시립정왕본동어린이집,경기도 시흥시 오동마을로6번안길 17(정왕동),경기도 시흥시 정왕동 2318-6,37.35222898,126.7440439,경기도 시흥시청,시흥경찰서,Y,2,6,2026-04-01,
어린이집,에트라움어린이집,경기도 시흥시 오동마을로5번길 37(정왕동),경기도 시흥시 정왕동 2315-13,37.35240649,126.7461194,경기도 시흥시청,시흥경찰서,Y,3,6,2026-04-01,
어린이집,열린자리어린이집,경기도 시흥시 정왕대로233번길 27(정왕동),경기도 시흥시 정왕동 1800-8,37.34737444,126.7407962,경기도 시흥시청,시흥경찰서,Y,3,12,2026-04-01,
어린이집,천사몬테소리어린이집,경기도 시흥시 역전로302번길 8-1(정왕동),경기도 시흥시 정왕동 2303-5,37.3523707,126.7399299,경기도 시흥시청,시흥경찰서,Y,3,6,2026-04-01,
초등학교,생금초등학교,경기도 시흥시 죽율로 45-42 (죽율동),경기도 시흥시 죽율동 767,37.35038351,126.7576253,경기도 시흥시청,시흥경찰서,Y,6,9,2026-04-01,초등학교
어린이집,보둠이나눔이어린이집,경기도 시흥시 경기과기대로 283(정왕동),경기도 시흥시 정왕동 2132,37.34008901,126.7352241,경기도 시흥시청,시흥경찰서,Y,3,9,2026-04-01,
유치원,한울유치원,경기도 시흥시 오이도어시장로 33 (정왕동),경기도 시흥시 정왕동 1994-8,37.34461056,126.6914311,경기도 시흥시청,시흥경찰서,Y,1,15,2026-04-01,
어린이집,시립산업단지어린이집,경기도 시흥시 공단1대로259번길 9 (정왕동),경기도 시흥시 정왕동 1366-5,37.3362388,126.7300125,경기도 시흥시청,시흥경찰서,Y,1,10,2026-04-01,
초등학교,배곧초등학교,경기도 시흥시 배곧4로 44-5 (배곧동),경기도 시흥시 정왕동 2482,37.37588267,126.7291946,경기도 시흥시청,시흥경찰서,N,0,35,2026-04-01,초등학교
어린이집,지혜와꿈의세상어린이집,경기도 시흥시 함송로13번길 10 (정왕동),경기도 시흥시 정왕동 1880-3,37.36441409,126.730857,경기도 시흥시청,시흥경찰서,N,0,12,2026-04-01,
유치원,배곧유치원,경기도 시흥시 배곧4로 44-8 (배곧동),경기도 시흥시 정왕동 2480,37.37625473,126.7282369,경기도 시흥시청,시흥경찰서,Y,1,10,2026-04-01,
초등학교,배곧한울초등학교,경기도 시흥시 배곧1로 28-25 (배곧동),경기도 시흥시 배곧동 276,37.36012444,126.7126506,경기도 시흥시청,시흥경찰서,N,0,20,2026-04-01,초등학교
유치원,배곧누리유치원,경기도 시흥시 배곧5로 65-9,경기도 시흥시 정왕동 1772-6,37.38335273,126.7336855,경기도 시흥시청,시흥경찰서,N,0,12,2026-04-01,
초등학교,서촌초등학교,경기도 시흥시 정왕대로118번길 27(정왕동),경기도 시흥시 정왕동 1848-1,37.34942414,126.7275029,경기도 시흥시청,시흥경찰서,Y,2,12,2026-04-01,초등학교
초등학교,시흥초등학교,경기도 시흥시 정왕대로143번길 15(정왕동),경기도 시흥시 정왕동 1871-4,37.3519755,126.7320851,경기도 시흥시청,시흥경찰서,Y,2,12,2026-04-01,초등학교
초등학교,정왕초등학교,경기도 시흥시 중심상가로 257(정왕동),경기도 시흥시 정왕동 1788-4,37.3409187,126.7432287,경기도 시흥시청,시흥경찰서,Y,2,12,2026-04-01,초등학교
초등학교,군서초등학교,경기도 시흥시 정왕천로427번길 30(정왕동),경기도 시흥시 정왕동 1175,37.34736202,126.7518114,경기도 시흥시청,시흥경찰서,Y,3,5,2026-04-01,초등학교
초등학교,옥터초등학교,경기도 시흥시 옥터로 33(정왕동),경기도 시흥시 정왕동 1988,37.345013,126.6924441,경기도 시흥시청,시흥경찰서,Y,2,7,2026-04-01,초등학교
