기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
주택단지,놀이체험시설,시화 영남4차아파트 어린이 놀이시설(410동앞),경기도 시흥시 정왕동 1394-2번지 영남4차아파트,126.7358064979,37.3539481197,,경기데이터드림
주택단지,놀이체험시설,시화 영남4차아파트 어린이 놀이시설(402동앞),경기도 시흥시 정왕동 1394-2번지 영남4차아파트,126.7358064979,37.3539481197,,경기데이터드림
주택단지,놀이체험시설,시화아주아파트 101동 옆 놀이터,경기도 시흥시 정왕동 1394번지 아주아파트,126.7347488488,37.3535807349,,경기데이터드림
주택단지,놀이체험시설,시화아주아파트 103동 앞 놀이터,경기도 시흥시 정왕신길로139번길 4,126.7347488488,37.3535807349,,경기데이터드림
어린이집,놀이체험시설,시립정왕1동어린이집,경기도 시흥시 큰솔로27번길 2,126.7517502255,37.340250082,,경기데이터드림
도시공원,놀이체험시설,새싹공원 어린이 놀이시설,경기도 시흥시 정왕동 1412-9번지,126.751173851,37.340107201,,경기데이터드림
도시공원,놀이체험시설,달공원 어린이 놀이시설,경기도 시흥시 정왕동 1504-2번지,126.7548827664,37.3453823114,,경기데이터드림
도시공원,놀이체험시설,큰솔공원 물놀이시설,경기도 시흥시 정왕동 1512,126.7540252328,37.3442214653,,경기데이터드림
도시공원,놀이체험시설,큰솔공원 어린이 놀이시설,경기도 시흥시 큰솔로 67-8,126.753635734,37.3436511454,,경기데이터드림
도시공원,놀이체험시설,해공원 어린이 놀이시설,경기도 시흥시 정왕동 1542-5번지,126.7559868279,37.3417681718,,경기데이터드림
도시공원,놀이체험시설,꿈동산공원 어린이 놀이시설,경기도 시흥시 정왕동 1569-10번지,126.7479963579,37.3424934383,,경기데이터드림
도시공원,놀이체험시설,군서공원 어린이 놀이시설,경기도 시흥시 정왕천로369번길 46,126.7453781427,37.3441305669,,경기데이터드림
도시공원,놀이체험시설,군서희망공원 어린이 놀이시설,경기도 시흥시 정왕동 1607,126.7424007255,37.3458062763,,경기데이터드림
식품접객업소,놀이체험시설,이바돔제주도야지 정왕점,경기도 시흥시 중심상가로 313,126.7474294224,37.3376898233,,경기데이터드림
주택단지,놀이체험시설,유천아파트 903동 902동 측면 놀이터,경기도 시흥시 정왕동 1628번지 유천아파트,126.7509067828,37.3365130691,,경기데이터드림
주택단지,놀이체험시설,유천아파트 909동 907동 사이 놀이터,경기도 시흥시 정왕동 1628번지 유천아파트,126.7509067828,37.3365130691,,경기데이터드림
주택단지,놀이체험시설,무진아파트 어린이 놀이시설(111동 앞),경기도 시흥시 정왕동 1629번지 무진아파트,126.748886081,37.3353825571,,경기데이터드림
주택단지,놀이체험시설,무진아파트 어린이 놀이시설(108동 앞),경기도 시흥시 정왕동 1629번지 무진아파트,126.748886081,37.3353825571,,경기데이터드림
목욕장업소,놀이체험시설,워터캐슬불가마사우나 (B2),경기도 시흥시 정왕대로 174,126.7334942325,37.3481553901,,경기데이터드림
도시공원,놀이체험시설,배곧한울공원 라이트형제 짚와이어 놀이,경기도 시흥시 정왕동 1772,,,,경기데이터드림
도시공원,놀이체험시설,배곧 한울공원 어린이놀이터,경기도 시흥시 정왕동 1772,,,,경기데이터드림
주택단지,놀이체험시설,시화건영1차아파트 어린이놀이터-1(115동옆),경기도 시흥시 정왕동 1785-1번지 건영1차아파트,126.7448128503,37.3397012331,,경기데이터드림
주택단지,놀이체험시설,시화건영1차아파트 어린이놀이터-2(121동옆),경기도 시흥시 정왕동 1785-1번지 건영1차아파트,126.7448128503,37.3397012331,,경기데이터드림
주택단지,놀이체험시설,건영1차아파트 어린이놀이터,경기도 시흥시 정왕동 1785-1번지 건영1차아파트,126.7448128503,37.3397012331,,경기데이터드림
주택단지,놀이체험시설,시화두산아파트 관리소 옆 놀이터,경기도 시흥시 정왕동 1786번지 두산아파트,126.7431892182,37.3395015698,,경기데이터드림
주택단지,놀이체험시설,시화두산아파트 125동 옆 놀이터,경기도 시흥시 정왕동 1786번지 두산아파트,126.7431892182,37.3395015698,,경기데이터드림
주택단지,놀이체험시설,시화두산아파트 106동 옆 놀이터,경기도 시흥시 정왕동 1786번지 두산아파트,126.7431892182,37.3395015698,,경기데이터드림
주택단지,놀이체험시설,시화 주공6단지 어린이 놀이터(610동),경기도 시흥시 정왕동 1787-1번지 주공6단지아파트,126.7415614749,37.3408341869,,경기데이터드림
주택단지,놀이체험시설,시화 주공6단지 어린이 놀이터(관리동옆),경기도 시흥시 정왕동 1787-1번지 주공6단지아파트,126.7415614749,37.3408341869,,경기데이터드림
