정류장아이디,정류장명,Y좌표,X좌표,GPSX좌표,GPSY좌표,링크아이디,정류장유형,환승정류장유무,중앙차로여부,정류장영문명,ARS아이디,기관코드,데이터표출유무,등록아이디,등록일자,비고,표지판유형,행정동코드,권역코드,사용구분,정류장중국어명,정류장일본어명,정류장베트남명,DRT유무,정류장유형명,환승역타입명,표지판유형명
231000001,대갈리상갈,222003.0000000000,396432.0000000000,,,2310050700,1000,N,N,Daegal-ri Sanggal ,33073,4155000000,Y,ckdejr12 ,2014-04-03 00:00:00.0,,2,4155042000,231,Y,大葛里上葛,テガルリサンガル,Daegal-ri Sanggal,N,시내,일반,쉘터
231000002,신창리,222235.0000000000,397624.0000000000,,,2310051100,1000,N,N,Sinchang-ri,33082,4155000000,Y,ckdejr12 ,2014-04-03 00:00:00.0,,2,4155042000,231,Y,新？里,シンチャンリ,Sinchang-ri ,N,시내,일반,쉘터
231000004,상갈,222011.0000000000,396445.0000000000,,,2310075400,1000,N,N,Sanggal,33072,4155000000,Y,ckdejr12 ,2014-04-03 00:00:00.0,,0,4155042000,231,Y,上葛,サンガル,Sanggal,N,시내,일반,표지판 없음
231000005,대덕초교,221647.1658800000,391703.5604800000,,,2310047900,1000,N,N,Daeduk Elementary School,33508,4155000000,Y,ckdejr12 ,2014-04-03 00:00:00.0,,0,4155035000,231,Y,大德小？,テドク小？校,Tr？？ng ti？u h？c Daedeok,N,시내,일반,표지판 없음
231000007,중모산,221612.0000000000,392266.0000000000,,,2310047900,1000,N,N,Jungmosan,33600,4155000000,Y,ckdejr12 ,2014-04-03 00:00:00.0,,0,4155035000,231,Y,中茅山,チュンモサン(山),Nui Jungmosan,N,시내,일반,표지판 없음
231000008,상모산,221581.0000000000,393162.0000000000,,,2310156000,1000,N,N,Jungmosan,33506,4155000000,Y,ckdejr12 ,2014-04-03 00:00:00.0,,0,4155035000,231,Y,上茅山,サンモサン(山),Nui Sangmosan,N,시내,일반,표지판 없음
231000012,보동리.소동산,221389.7802800000,394281.7672100000,,,2310156400,1000,N,N,Bodong-ri / Sodongsan,33453,4155000000,Y,ckdejr12 ,2014-04-03 00:00:00.0,,0,4155035000,231,Y,湺？里、小？山,ポドンリ、ソドンサン(山),Bodong-ri. Nui Sodongsan,N,시내,일반,표지판 없음
231000014,중모산,221618.0000000000,392289.0000000000,,,2310078000,1000,N,N,Sangmosan,33599,4155000000,Y,ckdejr12 ,2014-04-03 00:00:00.0,,2,4155035000,231,Y,中茅山,チュンモサン(山),Nui Jungmosan,N,시내,일반,쉘터
231000016,대덕초교,221671.0000000000,391721.0000000000,,,2310078000,1000,N,N,Daeduk Elementary School,33503,4155000000,Y,ckdejr12 ,2014-04-03 00:00:00.0,,2,4155035000,231,Y,大德小？,テドク小？校,Tr？？ng ti？u h？c Daedeok,N,시내,일반,쉘터
231000018,안성CGV,222864.1459700000,390051.8172300000,3700.7096000000,12715.4600000000,2310178900,1000,N,N,Anseong CGV,33099,4155000000,Y,smchoi,2023-01-17 00:00:00.0,,2,4155052000,231,Y,安城CGV,アンソンCGV,Anseong CGV,N,시내,일반,쉘터
