sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
시흥시,진순자김밥 직영점,3772401171,경기도 시흥시 배곧2로 95,경기도 시흥시 배곧동 229-1번지 배곧유호N-CITY2차 1층 103호,"분식,프랜차이즈",15011,37.3661941,126.7269414
시흥시,육회본가 배곧점,1873700813,경기도 시흥시 서울대학로264번길 50,경기도 시흥시 배곧동 233번지 배곧헤리움어반크로스2차 A동 1층 109호,"프랜차이즈,한식",15011,37.3667198,126.7287655
시흥시,처갓집양념치킨정왕1호점,1913700923,경기도 시흥시 정왕대로233번안길 3-4,경기도 시흥시 정왕동 1601-5번지 1층일부호,"치킨,프랜차이즈",15056,37.3470822,126.7418034
시흥시,49번가디저트,5810900967,경기도 시흥시 중심상가로 187,경기도 시흥시 정왕동 1737-6번지 진명프라자 103호,카페,15066,37.3446749,126.7361037
시흥시,피자플래넷 정왕배곧점,8850701767,경기도 시흥시 서울대학로278번길 19-13,경기도 시흥시 배곧동 191번지 시흥배곧 C1 호반 써밋플레이스 107동 A-107호,"프랜차이즈,피자·양식",15011,37.3703857,126.7269775
시흥시,스윗파티시에,2421101176,경기도 시흥시 서울대학로264번길 25,경기도 시흥시 배곧동 219번지 시흥배곧 아브뉴프랑 센트럴 블루 1층 136호,카페,15011,37.3683599,126.7273257
시흥시,옛수원갈비,1893301009,경기도 시흥시 평안상가5길 15-4,경기도 시흥시 정왕동 1781-6번지 1층,한식,15062,37.336061,126.747852
시흥시,탐앤탐스(시화점),6200994381,경기도 시흥시 정왕대로 78,"경기도 시흥시 정왕동 1861-8번지 126,127호","카페,프랜차이즈",15040,37.3532919,126.7250075
시흥시,갯골1890,7210101442,경기도 시흥시 서촌상가3길 15-6,경기도 시흥시 정왕동 1727-3번지 1층일부호,한식,15036,37.3473228,126.7329946
시흥시,신지네전집,2602501166,경기도 시흥시 서울대학로264번길 26-12,경기도 시흥시 배곧동 223-2번지 배곧에토스 1층 117호,한식,15011,37.367369,126.7260372
시흥시,메가엠지씨커피(시흥정왕시장점),7722400019,경기도 시흥시 정왕천로411번길 25,경기도 시흥시 정왕동 1201번지 1층,"카페,프랜차이즈",15052,37.3456354,126.7495629
시흥시,이바돔감자탕(정왕점),4301701023,경기도 시흥시 정왕대로 348,경기도 시흥시 정왕동 1622-2번지 (정왕동),"찜·탕,프랜차이즈",15062,37.3385194,126.7488999
시흥시,미스터카스테라(시흥점),6415900610,경기도 시흥시 서울대학로264번길 12,경기도 시흥시 배곧동 221번지 시흥배곧 C2블럭 호반 써밋플레이스 아파트 208동 1층 B-109호,"카페,프랜차이즈",15011,37.3684758,126.7257548
시흥시,탄광치킨(배곧아브뉴프랑점),7488501092,경기도 시흥시 서울대학로264번길 35,"경기도 시흥시 배곧동 218번지 시흥배곧아브뉴프랑 센트럴 그린 101,102호","치킨,프랜차이즈",15011,37.3677274,126.7284729
시흥시,금화반점,1340990604,경기도 시흥시 중심상가로 288,경기도 시흥시 정왕동 1786번지 두산아파트 201호,중식,15063,37.3387737,126.7449576
시흥시,압구정 봉구비어 정왕점,1401068821,경기도 시흥시 중심상가3길 26,경기도 시흥시 정왕동 1742-7번지 청송프라자 102호,"프랜차이즈,한식",15066,37.3440678,126.7356131
시흥시,"카페,바로",3891201491,경기도 시흥시 중심상가로 286,경기도 시흥시 정왕동 1786번지 두산아파트 상가 1층,카페,15063,37.3395015,126.7431892
시흥시,완산골 전주 콩나물국밥,3203100553,경기도 시흥시 중심상가2길 12-6,"경기도 시흥시 정왕동 1736-3번지 한강프라자 103호,104호",한식,15066,37.3453159,126.7362665
시흥시,BHC배곧신도시점,5515800246,경기도 시흥시 배곧4로 30,경기도 시흥시 배곧동 124번지 BHC배곧신도시점,"치킨,프랜차이즈",15010,37.3773385,126.7274821
시흥시,하노이분짜,6971601236,경기도 시흥시 봉우재로7번길 28,경기도 시흥시 정왕동 1621-11번지 하노이분짜,"아시안,프랜차이즈",15056,37.3455206,126.7400579
시흥시,김밥천국(정왕점),1302390821,경기도 시흥시 정왕대로 174,경기도 시흥시 정왕동 1726-1번지 광개토빌딩 106호,"분식,프랜차이즈",15036,37.3481553,126.7334942
시흥시,바비큐보스치킨 아주점,1341062123,경기도 시흥시 정왕신길로139번길 4,경기도 시흥시 정왕동 1394번지 아주아파트 상가 105호,"치킨,프랜차이즈",15025,37.3534614,126.7358114
시흥시,미스터피자(정왕점),1400341085,경기도 시흥시 중심상가로 194,경기도 시흥시 정왕동 1742-13번지 명성프라자 201동 202호,"프랜차이즈,피자·양식",15066,37.3439656,126.7365286
시흥시,채선당 시흥은계점,8126100267,경기도 시흥시 은계번영길 21,"경기도 시흥시 은행동 646-9번지 2층 201,202호",아시안,14922,37.4372099,126.8033937
시흥시,꽈로플 은계본점,5646400447,경기도 시흥시 은계번영길 40,경기도 시흥시 은행동 645-2번지 샤르망프라자 106호,카페,14922,37.4365649,126.8025406
시흥시,노리다이닝,8175900347,경기도 시흥시 은계번영길 7,경기도 시흥시 은행동 646-2번지 단디프라자 107호,일식·돈까스,14922,37.4371002,126.80162
시흥시,마라순코우 마라탕 전문점,5460901546,경기도 시흥시 은계번영길 2,경기도 시흥시 은행동 645-1번지 서미프라자 2층 204호,중식,14922,37.436536,126.8022244
시흥시,만두리아 수제만두전문점,1341715783,경기도 시흥시 비둘기공원6길 13-1,경기도 시흥시 대야동 541-2번지 월드프라자 101호,분식,14912,37.4422499,126.7914998
시흥시,식사준비 시흥은계점,4071401847,경기도 시흥시 은계번영길 1,경기도 시흥시 은행동 646번지 태산W타워 1층 110호,한식,14922,37.4365775,126.8016249
시흥시,카페고은,2082409799,,경기도 시흥시 신천동 876-16번지 롯데빌라 102호,카페,14951,37.4322098,126.7901703
시흥시,홍대숯불바베큐 본점,6381501491,경기도 시흥시 목감남서로 9-33,경기도 시흥시 조남동 654번지 홍대숯불바베큐본점,치킨,14988,37.3783369,126.8533203
시흥시,59쌀피자 매화점,4521201163,경기도 시흥시 매화2로 22,경기도 시흥시 매화동 220-13번지 102호,"프랜차이즈,피자·양식",14940,37.4169649,126.8125541
시흥시,뽕쟁이 목감점,3617100211,경기도 시흥시 산현마을길 14,경기도 시흥시 산현동 507-1번지 101호,중식,14989,37.3759698,126.8441242
시흥시,컴포즈커피 시흥은행사거리점,2142602460,경기도 시흥시 은행로 86,경기도 시흥시 은행동 547-4번지 경동프라자 101호,"카페,프랜차이즈",14916,37.4392911,126.7971459
시흥시,쿡키즈,7331301583,경기도 시흥시 수인로3312번길 16,"경기도 시흥시 대야동 693번지 시흥 센트럴 푸르지오 T동 1층 301호,302호 중 일부",한식,14911,37.4413231,126.7902764
시흥시,하우스콜,1400502034,경기도 시흥시 매화2로 15,경기도 시흥시 매화동 221-4번지 2층,피자·양식,14940,37.4164446,126.8129883
시흥시,선경반점,5034927225,경기도 시흥시 역전로 219,경기도 시흥시 정왕동 1820-8번지 하나빌딩 101호,중식,15053,37.3484744,126.7466782
시흥시,미스사이공 은계점,1871501071,경기도 시흥시 은계남로 12,경기도 시흥시 은행동 644번지 시흥은계 호반 써밋플레이스 시흥은계호반써밋플레이스,아시안,14922,37.4351025,126.8037071
시흥시,와플대학 시흥은계캠퍼스,1180367813,경기도 시흥시 은계번영길 28,경기도 시흥시 은행동 645-5번지 은계디스퀘어 105호,"카페,프랜차이즈",14922,37.4365417,126.8031965
시흥시,응급실국물떡볶이 시흥신천점,5710301142,경기도 시흥시 수인로3335번길 11,경기도 시흥시 신천동 775-2번지 104호,"분식,프랜차이즈",14950,37.4380334,126.7873119
시흥시,피자맥스,1400482405,경기도 시흥시 동서로 1080,경기도 시흥시 목감동 242-1번지 104호,"프랜차이즈,피자·양식",14984,37.385252,126.8602306
시흥시,훌랄라참숯바베큐치킨 대야점,4861301542,,경기도 시흥시 대야동 303-75번지 대야포레스트씨티 107호,치킨,14902,37.4525422,126.7883049
시흥시,란주짬뽕 목감점,8203100276,경기도 시흥시 동서로 1021,경기도 시흥시 조남동 227-1번지 1층,"중식,프랜차이즈",14983,37.3811312,126.8566284
시흥시,불쭈꾸미,4272401364,경기도 시흥시 은계호수로 31,경기도 시흥시 은행동 611-1번지 그린타워 115호,"프랜차이즈,한식",14923,37.444511,126.8034165
시흥시,주식회사스타레아은계점,6838501723,경기도 시흥시 은계중앙로 220,"경기도 시흥시 은행동 608-13번지 106,107,108,109호",카페,14923,37.4441258,126.8053532
시흥시,알마니 칼국수,6360801691,경기도 시흥시 비둘기공원6길 16,경기도 시흥시 대야동 538번지 2층,"프랜차이즈,한식",14912,37.4424717,126.7909099
시흥시,도시어부 회,7340100172,경기도 시흥시 대골안길 96,경기도 시흥시 신천동 707-29번지 1층,"일식·돈까스,프랜차이즈",14910,37.4416665,126.7859322
시흥시,디저트 카페Lalala,2175100672,경기도 시흥시 목감초등길 14-18,경기도 시흥시 조남동 171-36번지 101호,카페,14984,37.3850467,126.8589333
시흥시,커피볶는 모카곰,7462600810,경기도 시흥시 목감중앙로 53,경기도 시흥시 조남동 677-2번지 중앙프라자 106호,카페,14988,37.372974,126.855004
