sigun_nm,faclt_no,play_si_desc,instl_ymd,instl_plc,publ_prvate_div_nm,inoutdr_div_nm,refine_zipno,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt
시흥시,564364,신천공원물놀이터,20180529,도시공원,공공,실외,14949,경기도 시흥시 포도원로109번길 9,경기도 시흥시 신천동 57번지,37.4357510051,126.785491119
시흥시,20122,소래공원 어린이 놀이시설,20060101,도시공원,공공,실외,14904,,경기도 시흥시 신천동 702번지,37.4442603955,126.7822301864
시흥시,509498,대우5차푸르지오아파트 102동 2층 놀이터,20110223,주택단지,민간,실외,14910,,경기도 시흥시 신천동 709-32번지 시흥5차푸르지오,37.4416793445,126.7865538933
시흥시,20120,신라공원 어린이 놀이시설,20050101,도시공원,공공,실외,14948,,경기도 시흥시 신천동 742번지,37.4407697321,126.7817075771
시흥시,20121,벌터공원 어린이 놀이시설,20090916,도시공원,공공,실외,14948,경기도 시흥시 신천1길 21,경기도 시흥시 신천동 753번지,37.4394762495,126.7799844983
시흥시,20117,신천공원 어린이 놀이시설,20070101,도시공원,공공,실외,14949,,경기도 시흥시 신천동 764번지,37.4380434411,126.7849343546
시흥시,2089,광개토어린이집 놀이터,20100607,어린이집,민간,실외,14950,경기도 시흥시 신천로100번안길 13-1,경기도 시흥시 신천동 772-22번지,37.4376875829,126.7867613485
시흥시,554522,현진공원 어린이놀이시설,20151204,도시공원,공공,실외,14950,,경기도 시흥시 신천동 775,37.4384445291,126.7876242405
시흥시,20123,도원공원 어린이 놀이시설,20090430,도시공원,공공,실외,14947,경기도 시흥시 신천4길 46,경기도 시흥시 신천동 818-1번지,37.4383076814,126.7775540397
시흥시,20126,신흥공원 어린이 놀이시설,20050101,도시공원,공공,실외,14947,경기도 시흥시 신흥마을1길 28,경기도 시흥시 신천동 821-5번지,37.4370057615,126.778380426
시흥시,533690,새싹어린이집,20091001,어린이집,민간,실외,14947,경기도 시흥시 신천8길 37-10,경기도 시흥시 신천동 825-12번지,37.4361602273,126.7771903593
시흥시,20124,상아공원 어린이 놀이시설,20090916,도시공원,공공,실외,14947,,경기도 시흥시 신천동 826-1번지,37.4361142555,126.777619506
시흥시,20409,상아아파트 어린이 놀이터,20051010,주택단지,민간,실외,14947,경기도 시흥시 신천8길 19,경기도 시흥시 신천동 827-1번지,37.4363410727,126.778759829
시흥시,20411,동진2차 어린이 놀이터,19910428,주택단지,민간,실외,14947,,경기도 시흥시 신천동 829번지 동진아파트,37.4372719678,126.779169136
시흥시,572248,신천 코아루웰라움아파트 어린이놀이터2(101동 후면),20191227,주택단지,민간,실외,14950,,경기도 시흥시 신천동 83-103,,
시흥시,572247,신천 코아루웰라움아파트 어린이놀이터1(102동 후면),20191227,주택단지,민간,실외,14950,,경기도 시흥시 신천동 83-103,,
시흥시,1005293,시흥은행2지구신천역에피트 어린이놀이터1,20250617,주택단지,민간,실외,14950,경기도 시흥시 시흥대로 1124-17,경기도 시흥시 신천동 83-37,37.4368581235,126.7927262951
시흥시,37386,동진1차아파트 1동 놀이터,20090817,주택단지,민간,실외,14947,,경기도 시흥시 신천동 832-2번지 동진아파트,37.438503169,126.7785695192
시흥시,42110,"동진1차아파트 4,5동 놀이터",20090817,주택단지,민간,실외,14947,,경기도 시흥시 신천동 832-2번지 동진아파트,37.438503169,126.7785695192
시흥시,37387,"동진1차아파트 2,3동 놀이터",20090817,주택단지,민간,실외,14947,,경기도 시흥시 신천동 832-2번지 동진아파트,37.438503169,126.7785695192
시흥시,28705,은하수 드림필 아파트 놀이터,20081201,주택단지,민간,실외,14948,,경기도 시흥시 신천동 833-9번지 은하수드림필아파트,37.4376061466,126.780759774
시흥시,584232,푸른어린이집 실외놀이시설,20220921,어린이집,민간,실외,14949,경기도 시흥시 신천로79번길 24-1,경기도 시흥시 신천동 842-14번지,37.4374867421,126.7833607992
시흥시,584233,하늘어린이집 실외놀이시설,20220921,어린이집,민간,실외,14949,경기도 시흥시 신천로79번길 24,경기도 시흥시 신천동 842-14번지,37.4374874959,126.7834851342
시흥시,20127,새말공원 어린이 놀이시설,20050101,도시공원,공공,실외,14949,경기도 시흥시 포도원로79번길 11-3,경기도 시흥시 신천동 843-19번지,37.4367828327,126.7832205629
시흥시,507810,포도원공원 어린이 놀이시설,20090401,도시공원,공공,실외,14949,,경기도 시흥시 신천동 851-7번지,37.4353655198,126.7863257235
시흥시,20129,둥지공원 어린이 놀이시설,20090401,도시공원,공공,실외,14950,경기도 시흥시 수인로3325번길 29,경기도 시흥시 신천동 857-1번지,37.4364750859,126.7889770747
