시설명,소재지지번주소,주변상세설명,관리부서명,데이터기준일자,위도,경도,좌표확인상태,좌표출처
산들공원,경기도 시흥시 거모동1352,"화장실 옆, 관리사무소 앞 ",시흥시청,20250310,37.3471085,126.7807902,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
사랑공원,경기도 시흥시 정왕동 1872-7,한신아파크 311동 부근,시흥시청,20250310,37.3553969,126.733836,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
함현어린이공원,경기도 시흥시 정왕동 1878-6,어린이 놀이터 앞 운동기구 근처,시흥시청,20250310,37.365797,126.7357929,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
온들녘공원,경기도 시흥시 정왕동 1876-5,공원표지판 근처 운동기구 앞,시흥시청,20250310,37.3610485,126.731569,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
서촌공원,경기도 시흥시 정왕동 1848-2,대림아파트7207동 건너편 입구 방향,시흥시청,20250310,37.3489212,126.7264112,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
어울공원,경기도 시흥시 정왕동 2322-3,시립정왕본동어린이집 건너편,시흥시청,20250310,37.3519807,126.743859,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
죽율체육공원,경기도 시흥시 죽율동 610,"푸르지오 104동 건너편 입구에 운동기구 근처,",시흥시청,20250310,37.3493,126.7603,공공 위치데이터 일치,https://fpt.purpleo.co.kr/view/38541
함현공원,경기도 시흥시 정왕동 1878-3,공원 정자 근처,시흥시청,20250310,37.365328,126.733162,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
비둘기공원1,경기도 시흥시 은행동 551,관리사무소 옆,시흥시청,20250310,37.4421132,126.7943282,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
비둘기공원2,경기도 시흥시 은행동 551,배드민턴장 옆,시흥시청,20250310,37.4421132,126.7943282,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
신천공원1,경기도 시흥시 신천동 57,화장실 옆,시흥시청,20250310,37.4357532,126.785457,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
신천공원2,경기도 시흥시 신천동 57,운동기구 옆,시흥시청,20250310,37.4357532,126.785457,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
검바위하늘공원1,경기도 시흥시 은행동 654,검바위초 앞 산책로 근처,시흥시청,20250310,37.432825,126.8000362,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
검바위하늘공원2,경기도 시흥시 은행동 654,민방위 급수시설 근처,시흥시청,20250310,37.432825,126.8000362,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
검바위하늘공원3,경기도 시흥시 은행동 654,운동기구 근처,시흥시청,20250310,37.432825,126.8000362,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
은계중앙공원,경기도 시흥시 은행동 56-1,바닥분수 근처,시흥시청,20250310,37.4414028,126.800828,공식 시설명 일치,https://www.data.go.kr/data/15012890/standard.do
오난산전망공원,경기도 시흥시 은행동 622,계단입구,시흥시청,20250310,37.4420814,126.8070708,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
배곧생명공원,경기도 시흥시 배곧동 187,공원 음수대 옆,시흥시청,20250310,37.3720055,126.7218464,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
두드림공원,경기도 시흥시 배곧동 134,배곧초등학교 앞,시흥시청,20250310,37.3757836,126.7280166,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
차오름공원,경기도 시흥시 배곧동 149,배곧고등학교 앞,시흥시청,20250310,37.3737798,126.7313455,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
배곧한울공원1,경기도 시흥시 배곧동 307,주차장 옆,시흥시청,20250310,37.3568975,126.7034527,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
배곧한울공원2,경기도 시흥시 배곧동 42,주차장 옆(배곧한라비발디캠퍼스 방면),시흥시청,20250310,37.372027,126.7179802,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
배곧한울공원3,경기도 시흥시 배곧동 42,제3경인고속화도로 하부,시흥시청,20250310,37.372027,126.7179802,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
거북섬동1,경기도 시흥시 정왕동 2738-1,정왕동 2738-1번지 산책로 입구,시흥시청,20250310,37.3202449,126.6858666,공식 주소 일치,https://www.data.go.kr/data/15012890/standard.do
거북섬동2,경기도 시흥시 정왕동 2738,정왕동 2738번지 시화나래유치원 인근 산책로,시흥시청,20250310,37.3197054,126.6891503,주소 지오코딩 일치,https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer
